Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
LENOVO V15 G4 Iru 83a100pmvn,lenovo,Intel,I5,51,4.6,16,DDR4,3200,1024,15.6,1920 x 1080,,Intel,1.65,"38Wh, 65W Round Tip (3-pin)",15990000
LENOVO Thinkpad X9 15 Gen 1 Aura Edition 21q60052vn,lenovo,Intel,,,4.5,32,DDR5,8533,1024,15.3,2880 x 1800,120,Intel,1.4,"80Wh, 65W USB-C Slim GaN (3-pin)",50490000
LENOVO Ideapad Flex 5 14abr8 82xx00fwvn,lenovo,AMD,Ryzen 7,5,4.5,16,DDR4,4266,1024,14.0,1920 x 1200,60,AMD,1.55,52.5Wh (65W Round Tip (3-pin)),18990000
LENOVO Ideapad Slim 3 16irh10 83k20001vn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,16.0,1920 x 1200,60,Intel,1.73,60Wh Đầu tròn 65W (3 chân),19990000
LENOVO Ideapad Slim 3 15irh10 83k1002pvn,lenovo,Intel,I5,51,4.6,16,DDR5,4800,1024,15.1,2560 x 1600,165,Intel,1.49,"60Wh, 65W Round Tip (3-pin)",20490000
LENOVO Yoga Slim 7 14imh9 83cv00dkvn,lenovo,Intel,,,4.8,32,DDR5,6400,1024,14.0,1920 x 1200,60,Intel,1.39,"65Wh, 65W USB-C Slim (Wall-mount)",29990000
LENOVO Legion 5 15iax10 83f0003cvn,lenovo,Intel,,,5.2,32,DDR5,5600,1024,15.1,2560 x 1600,165,NVIDIA,1.9,"80Wh, 245W Slim Tip (3-pin)",49190000
LENOVO Yoga 7 2 In 1 14ill10 83jq0093vn,lenovo,Intel,,,4.8,32,DDR5,8533,1024,14.0,2880 x 1800,120,Intel,1.38,70Wh (65W USB-C (3-pin)),39990000
LENOVO Yoga Slim 7 14imh9 83cv00d8vn,lenovo,Intel,,,4.5,16,DDR5,6400,1024,14.0,1920 x 1200,60,Intel,1.39,"65Wh, 65W USB-C Slim (Wall-mount)",25990000
LENOVO Thinkpad X1 Carbon Gen 13 Aura Edition 21ns008hvn,lenovo,Intel,,,4.8,32,DDR5,8533,1024,14.0,1920 x 1200,60,Intel,0.986,"57Wh, 65W USB-C Slim GaN (3-pin)",62990000
LENOVO Ideapad Slim 3 14iah8 83eq0005vn,lenovo,Intel,I5,51,4.4,16,DDR5,4800,1024,14.0,1920 x 1080,,Intel,1.37,47Wh,15490000
LENOVO Legion 5 15iax10 83f0003bvn,lenovo,Intel,,,5.2,32,DDR5,5600,1024,15.1,2560 x 1600,165,NVIDIA,1.9,"80Wh, 245W Slim Tip (3-pin)",54990000
LENOVO Legion Pro 5 16iax10 83f3003vvn,lenovo,Intel,,,5.4,32,DDR5,5600,1024,16.0,2560 x 1600,165,NVIDIA,2.43,"80Wh, 245W Slim Tip (3-pin)",53990000
LENOVO Loq 15irx9 83dv012lvn,lenovo,Intel,I5,51,4.6,12,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh (Đầu mỏng 170W (3 chân)),25490000
LENOVO V15 G5 Irl 83hf00byvn,lenovo,Intel,I5,51,4.6,16,DDR5,5200,1024,15.6,1920 x 1080,,Intel,1.61,"47Wh, 65W USB-C (3-pin)",16390000
LENOVO Loq Essential 15irx11 83sc003rvn,lenovo,Intel,I5,51,4.6,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.3,"60Wh, 135W Slim Tip (3-pin)",28490000
LENOVO Loq 15arp9 83jc00hxvn,lenovo,AMD,Ryzen 5,7,4.2,12,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh (Đầu mỏng 170W (3 chân)),22990000
LENOVO Ideapad Flex 5 14abr8 82xx00dlvn,lenovo,AMD,Ryzen 7,7,4.5,16,DDR5,8448,1024,14.0,1920 x 1200,60,AMD,1.55,52.5Wh,18990000
LENOVO Thinkpad E14 Gen 7 21t90025vn,lenovo,Intel,,,5.2,16,DDR5,5600,512,14.0,1920 x 1200,60,Intel,1.34,"48Wh, 65W USB-C (3-pin)",26190000
LENOVO Thinkpad E14 Gen 7 21sx0031vn,lenovo,Intel,,,5.1,32,DDR5,5600,1024,14.0,1920 x 1200,60,Intel,1.34,"48Wh, 65W USB-C (3-pin)",
LENOVO Loq 15arp9 83jc00hyvn,lenovo,AMD,Ryzen 5,7,4.2,24,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh (Đầu mỏng 170W (3 chân)),24490000
LENOVO Thinkpad E16 Gen 3 21sr002kva,lenovo,Intel,,,4.8,16,DDR5,5600,1024,16.0,1920 x 1200,60,Intel,1.63,"48Wh, 65W USB-C (3-pin)",25190000
LENOVO Loq 15iax9 83gs001rvn,lenovo,Intel,I5,51,4.4,12,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh,23990000
LENOVO Ideapad Slim 5 14irh10r 83j0006cvn,lenovo,Intel,,,4.8,32,DDR5,5600,1024,14.0,1920 x 1200,,Intel,1.39,"60Wh, 65W USB-C Slim (Wall-mount)",24590000
LENOVO Thinkpad X1 Carbon Gen 13 Aura Edition 21ns008fvn,lenovo,Intel,,,4.8,32,DDR5,8533,1024,14.0,2880 x 1800,120,Intel,0.986,"57Wh, 65W USB-C Slim GaN (3-pin)",65190000
LENOVO Ideapad Slim 5 14imh9 83da001nvn,lenovo,Intel,,,4.5,16,DDR5,7467,1024,14.0,1920 x 1200,60,Intel,1.46,57Wh,21990000
LENOVO Loq 15irx9 83dv01alvn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,"60Wh, 170W Slim Tip (3-pin)",29990000
LENOVO Ideapad Slim 5 14imh9 83da006tvn,lenovo,Intel,,,4.5,16,DDR5,7467,1024,14.0,1920 x 1200,,Intel,1.48,57Wh,23690000
LENOVO Yoga Slim 7 14akp10 83jy006pvn RYZEN Ai,lenovo,AMD,,3,5.0,32,DDR5,6400,1024,14.0,2880 x 1800,120,AMD,1.19,"70Wh, 65W USB-C Slim (2-pin, Wall-mount)",33990000
LENOVO Thinkbook 16 G8 Irl,lenovo,Intel,,,4.8,16,DDR5,5600,2048,16.0,1920 x 1200,60,Intel,1.7,"45Wh, 65W USB-C (3-pin)",21490000
LENOVO V14 G4 Iru 83a00012vn,lenovo,Intel,I7,71,5.0,16,DDR4,3200,1024,14.0,1920 x 1080,,Intel,1.43,38Wh (Đầu tròn 65W (3 chân)),19990000
LENOVO Ideapad Slim 5 14irh10r 83j0006evn,lenovo,Intel,,,4.8,16,DDR5,5600,512,14.0,1920 x 1200,,Intel,1.39,"60Wh, 65W USB-C Slim (Wall-mount)",21490000
LENOVO Ideapad Slim 5 14akp10 83hx001kvn RYZEN Ai 5,lenovo,AMD,,3,4.8,24,DDR5,4800,1024,14.0,1920 x 1200,,AMD,1.39,60Wh (65W USB-C Slim (Wall-mount)),23090000
LENOVO Thinkpad X1 Carbon Gen 13 Aura Edition 21nx003avn,lenovo,Intel,,,5.1,32,DDR5,8400,1024,14.0,1920 x 1200,60,Intel,1.006,"57Wh, 65W USB-C Slim GaN (3-pin)",57190000
LENOVO Ideapad Slim 3 15 Abr8 82xm00ejvn,lenovo,AMD,Ryzen 5,7,4.3,16,DDR4,3200,1024,15.6,1920 x 1080,,AMD,1.62,47Wh,14390000
LENOVO Ideapad Slim 5 14irh10 83hr0001vn,lenovo,Intel,I5,51,4.6,32,DDR5,5600,1024,14.0,1920 x 1200,,Intel,1.39,60Wh (65W USB-C Slim (Gắn tường)),23490000
LENOVO Legion 5 15irx10 83ly00a7vn,lenovo,Intel,I7,71,5.5,16,DDR5,5600,1024,15.1,2560 x 1600,165,NVIDIA,1.9,"80Wh, 245W Slim Tip (3-pin)",40990000
LENOVO Yoga Slim 7 14ill10 83jx0081vn,lenovo,Intel,,,4.8,32,DDR5,8533,1024,14.0,2880 x 1800,120,Intel,1.19,"70Wh, 65W USB-C Slim (2-pin, Wall-mount)",37990000
LENOVO Ideapad Flex 5 14abr8 82xx00dmvn,lenovo,AMD,Ryzen 5,7,4.3,16,DDR5,8448,1024,14.0,1920 x 1200,60,AMD,1.55,52.5Wh,16990000
LENOVO Ideapad Slim 3 16irh10 83k20004vn,lenovo,Intel,I7,71,4.9,24,DDR5,4800,1024,16.0,1920 x 1200,60,Intel,1.73,60Wh Đầu tròn 65W (3 chân),20990000
LENOVO Yoga 7 2 In 1 14ill10 83jq0094vn,lenovo,Intel,,,4.8,32,DDR5,8533,1024,14.0,2880 x 1800,120,Intel,1.38,70Wh 65W USB-C (3-pin),39990000
LENOVO Legion 5 15ahp10 83m0002xvn,lenovo,AMD,Ryzen 7,2,5.1,24,DDR5,5600,1024,15.1,2560 x 1600,165,NVIDIA,1.9,"80Wh, 245W Slim Tip (3-pin)",39490000
LENOVO Thinkpad X1 Carbon Gen 9,lenovo,Intel,I7,71,4.7,32,DDR4,4266,2048,14.0,1920 x 1200,,Intel,1.13,57Whr (MM18),
LENOVO Thinkpad X1 Carbon Gen 10,lenovo,Intel,I7,12,2.1,16,DDR5,5200,2048,14.0,1920 x 1200,60,Intel,1.12,57 Wh,
LENOVO Loq 15arp9 83jc007hvn,lenovo,AMD,Ryzen 5,7,4.2,12,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh,23490000
LENOVO Loq 15arp9 83jc007jvn,lenovo,AMD,Ryzen 5,7,4.2,24,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh,24490000
LENOVO Loq 15iax9 83gs000jvn,lenovo,Intel,I5,51,4.4,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh,
LENOVO Thinkpad X1 Carbon Gen 8,lenovo,Intel,I7,10,1.8,16,DDR3,2133,512,14.0,1920 x 1080,60,Intel,1.09,51WHr Li-ion,
LENOVO Thinkpad E14 21eb0063vn,lenovo,AMD,Ryzen 7,5,4.5,8,DDR4,3200,1024,14.0,1920 x 1080,,AMD,1.64,45Wh,21700000
LENOVO Thinkpad X1 Carbon Gen 6,lenovo,Intel,I7,85,1.8,16,DDR3,2133,256,14.0,1920 x 1080,60,Intel,1.13,57WHr Li-ion,
LENOVO Thinkpad T14 Gen 2,lenovo,Intel,I7,11,2.8,32,DDR4,3200,2048,14.0,1920 x 1080,,Intel,1.47,,
LENOVO Thinkpad X1 Carbon Gen 7,lenovo,Intel,I7,85,1.8,16,DDR3,2133,256,14.0,1920 x 1080,60,Intel,1.09,51WHr Li-Polymer,
LENOVO Thinkpad X1 Carbon Gen 5,lenovo,Intel,I5,63,2.4,8,DDR3,1866,256,14.0,1920 x 1080,60,Intel,1.13,57WHr Li-Polymer,
LENOVO Ideapad Slim 3 14iah8 83eq0009vn,lenovo,Intel,I5,51,4.4,16,DDR5,4800,1024,14.0,1920 x 1080,,Intel,1.37,47Wh,16490000
LENOVO Legion Slim 5 16irh8 82ya00buvn,lenovo,Intel,I7,71,2.4,16,DDR5,5200,1024,16.0,2560 x 1600,165,NVIDIA,2.4,80Wh,43990000
LENOVO Ideapad Yoga 6 13alc6 82nd00bdvn,lenovo,AMD,Ryzen 7,7,1.8,8,DDR4,3200,512,13.3,1920 x 1080,,AMD,1.31,"4Cell, 60Wh",16800000
LENOVO Thinkpad T14 Gen 3,lenovo,,I7,,3.4,16,DDR4,3200,2048,14.0,1920 x 1200,,Intel,1.35,57Wh,
LENOVO Thinkpad E16 Gen 1 21jn006gvn,lenovo,Intel,I7,71,5.0,16,DDR4,3200,1024,16.0,1920 x 1200,,Intel,1.81,47Wh,
LENOVO Thinkpad T480,lenovo,Intel,I7,78,,32,DDR4,2400,1024,14.0,1920 x 1080,,Intel,1.58,Lên đến 30.3 giờ,
LENOVO Ideapad Slim 3 15irh8 83em003evn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,15.6,1920 x 1080,60,Intel,1.62,47Wh,
LENOVO Yoga Pro 7 14irh8 82y70050vn,lenovo,Intel,I7,71,2.4,16,DDR5,5200,1024,14.5,3072 x 1920,120,NVIDIA,1.49,73Wh,
LENOVO Ideapad 1 15amn7 82vg0022vn,lenovo,AMD,Ryzen 5,7,4.3,8,DDR5,5500,1024,15.6,1920 x 1080,,AMD,1.58,42Wh,
LENOVO Thinkbook 14 G2 Are,lenovo,AMD,Ryzen 7,4,2.0,8,DDR4,3200,512,14.0,1920 x 1080,60,AMD,,45W Lithium polyme,
LENOVO Ideapad Slim 5 16imh9 83dc001svn,lenovo,Intel,,,4.8,32,DDR5,7467,1024,16.0,2048 x 1280,120,Intel,1.82,57Wh,26990000
LENOVO Ideapad Slim 5 16imh9 83dc001rvn,lenovo,Intel,,,4.5,16,DDR5,7467,1024,16.0,2048 x 1280,120,Intel,1.82,57Wh,
LENOVO Yoga Slim 7 Carbon 13iap7 82u90044vn,lenovo,Intel,I5,51,4.4,16,DDR5,4800,1024,13.3,2560 x 1600,,Intel,0.968,50Wh,
LENOVO Legion Slim 5 16irh8 82ya008hvn,lenovo,Intel,I7,71,5.0,16,DDR5,5200,1024,16.0,2560 x 1600,165,NVIDIA,2.4,80Wh,
LENOVO Ideapad Slim 5 14imh9 83da001yvn,lenovo,Intel,,,4.8,32,DDR5,7467,1024,14.0,1920 x 1200,60,Intel,1.48,57Wh,
LENOVO Thinkpad P51,lenovo,Intel,I7,77,2.9,64,DDR4,2400,1024,15.6,3840 x 2160,,NVIDIA,2.5,6Cell - 90Wh,
LENOVO 100e Gen 2 Celeron,lenovo,Intel,,40,1.1,4,DDR4,2400,64,11.6,1366 x 768,60,Intel,1.21,3 Cell,
LENOVO Thinkpad P50,lenovo,Intel,I7,67,2.8,64,DDR4,2133,256,15.6,3840 x 2160,,NVIDIA,2.5,Li - Polymer 6 cell,
LENOVO Thinkpad T470s,lenovo,Intel,I7,77,2.8,24,DDR4,2400,1024,14.0,1920 x 1080,,Intel,1.3,57Wh,
LENOVO Thinkpad T460s,lenovo,Intel,I7,76,2.6,24,DDR4,2133,256,14.0,1920 x 1080,,Intel,1.3,,
LENOVO Thinkpad T14,lenovo,Intel,I5,10,1.7,8,DDR4,2666,256,14.0,1920 x 1080,60,Intel,1.46,50WHr Li-ion,
LENOVO Ideapad Slim 5 Light 14abr8 82xs0007vn,lenovo,AMD,Ryzen 7,7,4.5,8,DDR4,3200,512,14.0,1920 x 1080,,AMD,1.17,47Wh,
LENOVO Ideapad 5 15iil05 81yk004wvn,lenovo,Intel,I5,10,,8,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.7,3-cell 45 Wh Li-ion,
LENOVO Ideapad 5 14itl05 82fg0129vn,lenovo,Intel,I5,11,,8,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.66,3 Cell Lithium polymer 45 W,
LENOVO Ideapad Slim 3 15iah8 83er000bvn,lenovo,Intel,I5,51,4.4,8,DDR5,4800,512,15.6,1920 x 1080,,Intel,1.62,3 cell 47Wh,
LENOVO Loq 15irx9 83dv0092vn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,60Wh,
LENOVO Gaming Legion 5 15imh05 82au00g9vn,lenovo,Intel,I7,71,2.6,16,DDR4,3200,512,15.6,1920 x 1080,,NVIDIA,2.3,4 cell 60 Wh,
LENOVO Legion Pro 7 16irx9h 83de001nvn,lenovo,Intel,I9,91,5.8,32,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.62,99.9Wh,
LENOVO Gaming Legion Pro 7 16irx9h 83de001mvn,lenovo,Intel,I9,91,5.8,32,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.62,99.9Wh,
LENOVO Thinkpad X1 Carbon7 20r1s01n00,lenovo,Intel,I7,71,1.8,8,DDR3,2133,256,14.0,2560 x 1440,,Intel,1.08,4 cell 51Wh,
LENOVO Thinkpad E15 20rds0du00,lenovo,Intel,I7,71,1.8,8,DDR4,2666,512,15.6,1920 x 1080,,AMD,1.8,"3Cell, 45Wh",
LENOVO Legion Slim 5 16irh8 82ya00btvn,lenovo,Intel,I5,51,4.7,8,DDR5,5200,1024,16.0,2560 x 1600,165,NVIDIA,2.4,80Wh,
LENOVO Ideapad 3 15iau7 82rk015avn,lenovo,Intel,I3,31,4.4,16,DDR4,3200,1024,15.6,1920 x 1080,,Intel,1.63,45Wh,
LENOVO Legion Slim 5 16aph8 82y9002yvn,lenovo,AMD,Ryzen 7,7,5.1,16,DDR5,5600,1024,16.0,2560 x 1600,165,NVIDIA,2.4,80Wh,
LENOVO Loq 15iax9,lenovo,,,,,,,,,,,,,,,
LENOVO Ideapad Slim 5 Light 14abr8 82xs0006vn,lenovo,AMD,Ryzen 5,7,4.5,8,DDR4,3200,512,14.0,1920 x 1080,,AMD,1.17,47Wh,
LENOVO Ideapad Slim 5 16iah8 83bg001xvn,lenovo,Intel,I5,51,4.4,16,DDR5,4800,1024,16.0,1920 x 1200,,Intel,1.89,56.6Wh,
DELL Inspiron 15 3530 J9xfd,dell,Intel,I5,51,,16,DDR4,3200,1024,15.6,1920 x 1080,60,Intel,1.62,"3 cell, 41Wh",16990000
DELL 15 Dc15255 Dc5r5802w1,dell,,Ryzen 5,,2.0,16,DDR4,3200,1024,15.6,1920 x 1080,120,AMD,1.63,"3-Cell Battery, 41WHr",16990000
DELL Inspiron 14 5440 D0f3w,dell,Intel,I5,51,4.6,24,DDR5,4400,1024,14.0,1920 x 1080,60,Intel,1.69,3 cell 41 Wh,18990000
DELL 15 Dc15250 79n4m,dell,Intel,,31,,16,DDR4,,512,15.6,1920 x 1080,120,Intel,1.9,"3 cell, 41Wh",14490000
DELL Vostro 3530 2h1tpi5 16gb,dell,Intel,I5,51,0.9,16,DDR4,2666,1024,15.6,1920 x 1080,120,Intel,1.66,"41Wh , 3Cell",18990000
DELL 15 Dc15250 71073959,dell,Intel,I7,71,,16,DDR4,2666,512,15.6,1920 x 1080,120,Intel,1.66,,21990000
DELL Vostro 3520 F0v0vi3,dell,Intel,I3,31,1.2,8,DDR4,,512,15.6,1920 x 1080,120,Intel,1.9,"3-cell, 41 Wh lithium-polymer",11990000
DELL Latitude 3450 L3450 1335u 16512w Umc,dell,Intel,I5,51,4.6,16,DDR5,5200,1024,14.0,1920 x 1080,60,Intel,1.5,"3- cell, 42Wh Battery",19590000
DELL Vostro 3530 2h1tpi7,dell,Intel,I7,71,1.2,16,DDR4,2666,1024,15.6,1920 x 1080,120,Intel,1.66,"41Wh , 3Cell",20990000
DELL 15 Dc15250 H02df,dell,Intel,I5,13,4.6,24,DDR4,,1024,15.6,1920 x 1080,120,Intel,1.9,"3 cell, 41Wh",16990000
DELL Vostro 3530 2h1tpi3,dell,Intel,I3,31,,8,DDR4,,1024,15.6,1920 x 1080,120,Intel,1.66,"41Wh , 3Cell",12990000
DELL Inspiron 14 5440 N4i5211w1,dell,Intel,,51,,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.67,"Li-ion 4-Cell Battery, 54WHr",23690000
DELL Inspiron 14 5440 Ndy5v1,dell,Intel,I5,51,4.6,16,DDR5,4400,512,14.0,1920 x 1200,,Intel,1.54,3 Cell Int (41Wh),20990000
DELL 15 Dc15250 I5u165w11slu,dell,Intel,I5,51,4.6,16,DDR4,2666,512,15.6,1920 x 1080,120,Intel,1.9,"Pin liền, 3-Cell Battery, 41WHr",19190000
DELL 15 Dc15255 X9ym41,dell,AMD,Ryzen 7,7,4.5,16,DDR4,,1024,15.6,1920 x 1080,120,AMD,1.6,3 Cell Int (41Wh),19490000
DELL Inspiron 15 3520 Jym17,dell,Intel,I3,31,1.2,8,DDR4,,1024,15.6,1920 x 1080,120,Intel,1.66,"41Wh , 3Cell",12290000
DELL Inspiron 14 5440 N5440 C7u165w11ibd2,dell,Intel,,,5.4,16,DDR5,5200,512,14.0,1920 x 1080,60,NVIDIA,1.54,"4-Cell Battery, 54WHr",29990000
DELL Inspiron 14 5441 N4o10441w1,dell,,,,3.4,16,DDR5,8448,1024,14.0,1920 x 1200,60,,1.53,"3-cell, 54 Wh, lithium-ion",30390000
DELL Xps 13 9350 71058714,dell,Intel,,,2.1,16,DDR5,8533,1024,13.4,2560 x 1600,120,Intel,1.18,"Pin liền, 3-cell, 55 Wh ""smart"" lithium-ion",60990000
DELL Inspiron 15 3520 5124blk Gj8w7,dell,Intel,I5,51,1.3,8,DDR4,,1024,15.6,1920 x 1080,60,Intel,1.66,"3-cell, 41 Wh lithium-polymer",15490000
DELL Inspiron 15 3520 I3520 7896blk Pus,dell,Intel,I7,71,70.0,16,DDR4,,1024,15.6,1920 x 1080,60,Intel,1.66,"3 Cell, 41 Wh",20490000
DELL Inspiron 15 3520 6r6nk,dell,Intel,I5,51,1.3,8,DDR4,,1024,15.6,1920 x 1080,120,Intel,1.66,"3-cell, 41 Wh lithium-polymer",14490000
DELL Latitude 3540 71038100,dell,Intel,I5,51,4.4,16,DDR4,3200,1024,15.6,1920 x 1080,60,Intel,1.81,"3 cell, 42 Wh, có khả năng sạc nhanh",18990000
DELL Inspiron 15 3520 N3520 I5u165w11slu,dell,Intel,I5,51,4.4,16,DDR4,3200,512,15.6,1920 x 1080,120,Intel,1.9,"Pin liền, 3-Cell Battery, 41WHrC32",16990000
DELL Latitude 7400,dell,Intel,I5,58,1.6,8,DDR4,,256,14.0,1920 x 1080,,Intel,1.36,4-Cell: 60 Wh,
DELL Vostro 3520 F0v0v256,dell,Intel,I5,51,1.3,8,DDR4,,256,15.6,1920 x 1080,60,Intel,1.9,,13990000
DELL Inspiron 5310,dell,Intel,I3,11,2.0,8,DDR4,4267,256,13.3,1920 x 1200,60,Intel,1.28,54 Wh 4 celll,
DELL 15 Dc15250 3g7t0,dell,Intel,I7,13,5.0,16,DDR4,,1024,15.6,1920 x 1080,120,Intel,1.9,"3 cell, 41Wh",20990000
DELL Inspiron 15 3530 P16wd2,dell,Intel,I5,51,4.6,16,DDR4,2666,0,15.6,1920 x 1080,120,Intel,1.67,3 Cell Int (41Wh),19190000
DELL Xps 9320,dell,Intel,I7,12,4.7,16,DDR5,5200,512,13.4,,,Intel,1.26,"3-cell, 55 Wh",
DELL Xps 9315,dell,Intel,I7,12,,16,DDR5,5200,512,13.4,1920 x 1200,,Intel,1.17,,
DELL Latitude 3420,dell,Intel,I5,51,2.4,8,DDR4,3200,256,14.0,1366 x 768,,Intel,1.5,3 cell 41 Wh,
DELL Inspiron 16 5620 N6i7110w1,dell,Intel,I7,71,,8,DDR4,3200,512,16.0,1920 x 1200,,Intel,1.91,"4-cell Li-ion, 54 WHr",25290000
DELL Inspiron 14 5440 N4i7204w1,dell,Intel,,,,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.67,"Li-ion 4-Cell Battery, 54WHr",26490000
DELL Latitude E7470,dell,Intel,I5,56,2.4,8,DDR4,2133,256,14.0,1920 x 1080,,Intel,1.42,4 cell 52Whr,
DELL Latitude E5440,dell,Intel,I5,43,,4,,,500,14.0,1366 x 768,,Intel,1.95,,
DELL Latitude 5400,dell,Intel,I5,83,1.6,8,,,256,14.0,1920 x 1080,,Intel,1.6,3 cell,
DELL Inspiron 5425,dell,AMD,,5,,16,DDR4,3200,512,14.0,1920 x 1200,60,AMD,1.54,,
DELL Latitude 7480,dell,Intel,I5,57,2.6,8,DDR4,2133,256,14.1,1920 x 1080,,Intel,1.5,"4-cell, 60 Wh Li-ion",
DELL Latitude E5430,dell,Intel,I5,53,2.6,4,,,120,14.0,1366 x 768,,Intel,1.18,6 cell,
DELL Xps 15 9520,dell,Intel,I9,12,3.8,16,DDR5,4800,512,15.6,3456 x 2160,,NVIDIA,1.96,6 Cell,
DELL Xps 13 9350,dell,Intel,I7,65,3.1,8,DDR3,1600,256,13.3,3200 x 1800,,Intel,1.27,4-cell Li-Ion,
DELL Xps 14 9440 71054773,dell,Intel,,,4.8,64,DDR5,7467,1024,14.5,3200 x 2000,48,NVIDIA,1.8,"6-Cell, 69.5Whr",
DELL Latitude 5480,dell,Intel,I5,56,2.3,8,DDR4,,256,14.0,1366 x 768,,Intel,0.01,,
DELL Latitude 7280,dell,Intel,I5,62,,8,,,240,12.5,1920 x 1080,,Intel,1.18,,
DELL Latitude E7450,dell,Intel,I3,35,,4,DDR3,1600,120,14.0,1366 x 768,,Intel,1.55,3 cell,
DELL Xps 13 9305,dell,Intel,I5,11,,8,DDR4,4266,256,13.3,1920 x 1080,,Intel,1.29,7 giờ sử dụng liên tục với Microsoft Word,
DELL Xps 15 9570,dell,Intel,I7,78,2.2,16,DDR4,2666,256,15.6,1920 x 1080,,NVIDIA,1.8,97Whr,
DELL Xps 9510,dell,Intel,I7,11,,16,DDR4,3200,1024,15.6,3456 x 2160,,NVIDIA,2.04,86 WHr,
DELL Latitude E7250,dell,Intel,I5,53,2.3,8,DDR3,,256,12.5,,,Intel,1.27,,
DELL Inspiron 7425,dell,AMD,Ryzen 5,5,2.3,8,DDR4,3200,512,14.0,1920 x 1200,60,AMD,1.6,54WHr 4-Cell,
DELL Xps 9500,dell,Intel,I5,10,4.0,8,DDR4,2933,256,15.0,1920 x 1200,,Intel,1.83,56 WHr Li-ion,
Alienware X14 R1,dell,Intel,I7,71,4.7,16,DDR5,4800,512,14.0,1920 x 1080,144,NVIDIA,1.84,"6-cell, 80.5Wh",
DELL Alienware M16,dell,Intel,I7,71,90.0,16,DDR5,4800,512,16.0,2560 x 1600,165,NVIDIA,3.25,"6 Cell, 86 Wh",
DELL Vostro 5568,dell,Intel,I5,72,,4,DDR4,2400,1024,15.6,1366 x 768,,NVIDIA,1.98,3-cell Li-ion,
DELL Xps 13 9300,dell,Intel,I5,10,,8,DDR4,3733,256,13.0,1920 x 1200,,Intel,1.3,51WHr,
DELL Latitude 5520,dell,Intel,I5,11,4.4,8,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.59,63Whr 4 cell,
DELL Latitude 5420,dell,Intel,I5,51,4.2,8,DDR4,3200,256,14.0,1920 x 1080,,Intel,1.37,"4 Cell, 63.3 Whr",
DELL Inspiron 7559,dell,,I7,,,8,DDR3,1600,1024,15.6,1920 x 1080,,NVIDIA,2.5,,
DELL Alienware M15 R7,dell,Intel,I7,12,2.1,16,DDR5,4800,512,15.6,1920 x 1080,165,NVIDIA,2.69,,
DELL Latitude E5570,dell,Intel,I7,76,,16,,,512,15.6,1920 x 1080,,AMD,,,
DELL Inspiron 5515 R1505s,dell,AMD,Ryzen 5,5,,8,DDR4,3200,512,15.6,1920 x 1080,,AMD,1.75,4 Cell Lithium polymer 65 W,
DELL Xps 15 7590,dell,Intel,I5,93,4.0,8,DDR4,2666,256,15.0,1920 x 1080,,Intel,1.8,57 WHr Li-ion,
DELL Latitude E5520,dell,Intel,I7,26,,8,DDR3,,320,14.1,,,Intel,,,
DELL Inspiron N7490 N4i5106w,dell,Intel,I5,10,,8,DDR3,,512,14.0,1920 x 1200,,Intel,1.32,65 W,
DELL Latitude E7270,dell,Intel,I5,56,,8,DDR4,,256,12.5,1366 x 768,,Intel,1.26,,
DELL G7 15 7500,dell,Intel,I7,10,,8,DDR4,,512,15.6,1920 x 1080,,NVIDIA,2.56,Lithium-ion 6 Cell,
DELL Vostro 5468,dell,Intel,I5,72,,4,DDR4,2400,1024,14.0,1366 x 768,,NVIDIA,1.66,3-cell Li-ion,
DELL Latitude 3520 71012298,dell,Intel,I7,71,,8,DDR4,3200,512,15.6,1920 x 1080,60,Intel,1.79,3 cell,
